2025-09-04T01:16:12.876353544Z [err]  time="2025-09-04T01:16:12Z" level=fatal msg="setup failed, skipping cleanup" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:124" error="migration failed: ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))"
2025-09-04T01:16:14.019444175Z [err]  time="2025-09-04T01:16:13Z" level=info msg="initialization started" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/init.go:70"
2025-09-04T01:16:14.028863414Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify user" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_user.go:40" username=postgres
2025-09-04T01:16:14.028872636Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify database" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_database.go:40" database=railway
2025-09-04T01:16:14.028878677Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify grant" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_grant.go:35" database=railway user=postgres
2025-09-04T01:16:14.032969346Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify zitadel" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:80" database=railway
2025-09-04T01:16:14.043356962Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify system" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:46"
2025-09-04T01:16:14.043364824Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify encryption keys" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:51"
2025-09-04T01:16:14.043369712Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify projections" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:56"
2025-09-04T01:16:14.043374256Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify eventstore" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:61"
2025-09-04T01:16:14.043378672Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify events tables" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:66"
2025-09-04T01:16:14.053567751Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify unique constraints" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:71"
2025-09-04T01:16:14.159381137Z [err]  time="2025-09-04T01:16:14Z" level=info msg="setup started" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:108"
2025-09-04T01:16:14.159388004Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=14_events_push
2025-09-04T01:16:14.162506284Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=40_init_push_func_v4
2025-09-04T01:16:14.162517488Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=01_tables
2025-09-04T01:16:14.162524983Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=02_assets
2025-09-04T01:16:14.167873571Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=28_add_search_table
2025-09-04T01:16:14.167880332Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=31_add_aggregate_index_to_fields
2025-09-04T01:16:14.167885291Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=46_init_permission_functions
2025-09-04T01:16:14.167890041Z [err]  time="2025-09-04T01:16:14Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=03_default_instance
2025-09-04T01:16:14.185757468Z [err]  time="2025-09-04T01:16:14Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=03_default_instance
2025-09-04T01:16:15.679546399Z [err]  time="2025-09-04T01:16:15Z" level=warning msg="add unique constraint failed" caller="/home/runner/work/zitadel/zitadel/internal/eventstore/v3/unique_constraints.go:78" error="ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505)"
2025-09-04T01:16:15.679552556Z [err]  time="2025-09-04T01:16:15Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:71" error="ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))" name=03_default_instance
2025-09-04T01:16:15.679558483Z [err]  time="2025-09-04T01:16:15Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:364" code=23505 detail="Key (instance_id, unique_type, unique_field)=(, instance_domain, zitadel-development.up.railway.app) already exists." error="ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))" hint= message="duplicate key value violates unique constraint \"unique_constraints_pkey\"" name=03_default_instance severity=ERROR
2025-09-04T01:16:15.679564218Z [err]  time="2025-09-04T01:16:15Z" level=fatal msg="setup failed, skipping cleanup" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:124" error="migration failed: ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))"
2025-09-04T01:16:16.698367361Z [err]  time="2025-09-04T01:16:16Z" level=info msg="initialization started" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/init.go:70"
2025-09-04T01:16:16.733241778Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify user" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_user.go:40" username=postgres
2025-09-04T01:16:16.733248811Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify database" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_database.go:40" database=railway
2025-09-04T01:16:16.733253491Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify grant" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_grant.go:35" database=railway user=postgres
2025-09-04T01:16:16.733258052Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify zitadel" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:80" database=railway
2025-09-04T01:16:16.733263079Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify system" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:46"
2025-09-04T01:16:16.737329561Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify encryption keys" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:51"
2025-09-04T01:16:16.737335315Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify projections" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:56"
2025-09-04T01:16:16.737340037Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify eventstore" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:61"
2025-09-04T01:16:16.737343832Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify events tables" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:66"
2025-09-04T01:16:16.741241918Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify unique constraints" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:71"
2025-09-04T01:16:16.876794805Z [err]  time="2025-09-04T01:16:16Z" level=info msg="setup started" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:108"
2025-09-04T01:16:16.876800450Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=14_events_push
2025-09-04T01:16:16.876806596Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=40_init_push_func_v4
2025-09-04T01:16:16.876812320Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=01_tables
2025-09-04T01:16:16.876818137Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=02_assets
2025-09-04T01:16:16.876823929Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=28_add_search_table
2025-09-04T01:16:16.876828946Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=31_add_aggregate_index_to_fields
2025-09-04T01:16:16.876835001Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=46_init_permission_functions
2025-09-04T01:16:16.876841256Z [err]  time="2025-09-04T01:16:16Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=03_default_instance
2025-09-04T01:16:16.876847337Z [err]  time="2025-09-04T01:16:16Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=03_default_instance
2025-09-04T01:16:18.823907332Z [err]  time="2025-09-04T01:16:18Z" level=warning msg="add unique constraint failed" caller="/home/runner/work/zitadel/zitadel/internal/eventstore/v3/unique_constraints.go:78" error="ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505)"
2025-09-04T01:16:18.823913147Z [err]  time="2025-09-04T01:16:18Z" level=error msg="migration failed" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:71" error="ID=V3-DKcYh Message=Errors.Instance.Domain.AlreadyExists Parent=(ERROR: duplicate key value violates unique constraint \"unique_constraints_pkey\" (SQLSTATE 23505))" name=03_default_instance
